datetime,cpu,mem
Fri Aug  2 09:13:56 GMT 2019,1.9,92491
Fri Aug  2 09:13:56 GMT 2019,1.9,93721
Fri Aug  2 09:13:57 GMT 2019,1.9,119562
Fri Aug  2 09:13:57 GMT 2019,1.9,130181
Fri Aug  2 09:13:57 GMT 2019,1.9,130214
Fri Aug  2 09:13:57 GMT 2019,1.9,147019
Fri Aug  2 09:13:58 GMT 2019,1.9,147015
Fri Aug  2 09:13:58 GMT 2019,1.9,147014
Fri Aug  2 09:13:58 GMT 2019,1.9,146987
Fri Aug  2 09:13:58 GMT 2019,1.9,146976
Fri Aug  2 09:13:59 GMT 2019,1.9,146976
Fri Aug  2 09:13:59 GMT 2019,1.9,146976
Fri Aug  2 09:13:59 GMT 2019,1.9,146980
Fri Aug  2 09:13:59 GMT 2019,1.9,146980
Fri Aug  2 09:14:00 GMT 2019,1.9,146980
Fri Aug  2 09:14:00 GMT 2019,1.9,147051
Fri Aug  2 09:14:00 GMT 2019,1.9,147051
Fri Aug  2 09:14:01 GMT 2019,1.9,147067
Fri Aug  2 09:14:01 GMT 2019,1.9,147083
Fri Aug  2 09:14:01 GMT 2019,1.9,147083
Fri Aug  2 09:14:01 GMT 2019,1.9,145932
Fri Aug  2 09:14:02 GMT 2019,1.9,145948
Fri Aug  2 09:14:02 GMT 2019,1.9,145952
Fri Aug  2 09:14:02 GMT 2019,1.9,145948
Fri Aug  2 09:14:02 GMT 2019,1.9,145948
Fri Aug  2 09:14:03 GMT 2019,1.9,145948
Fri Aug  2 09:14:03 GMT 2019,1.9,145948
Fri Aug  2 09:14:03 GMT 2019,1.9,145948
Fri Aug  2 09:14:04 GMT 2019,1.9,145948
Fri Aug  2 09:14:04 GMT 2019,1.9,145948
Fri Aug  2 09:14:04 GMT 2019,1.9,145948
Fri Aug  2 09:14:04 GMT 2019,1.9,145948
Fri Aug  2 09:14:05 GMT 2019,1.9,145948
Fri Aug  2 09:14:05 GMT 2019,1.9,145948
Fri Aug  2 09:14:05 GMT 2019,1.9,145948
Fri Aug  2 09:14:06 GMT 2019,1.9,145948
Fri Aug  2 09:14:06 GMT 2019,1.9,145948
Fri Aug  2 09:14:06 GMT 2019,1.9,145948
Fri Aug  2 09:14:06 GMT 2019,1.9,145940
Fri Aug  2 09:14:07 GMT 2019,1.9,145944
Fri Aug  2 09:14:07 GMT 2019,1.9,145948
Fri Aug  2 09:14:07 GMT 2019,1.9,145948
Fri Aug  2 09:14:08 GMT 2019,1.9,145948
Fri Aug  2 09:14:08 GMT 2019,1.9,146015
Fri Aug  2 09:14:08 GMT 2019,1.9,146015
Fri Aug  2 09:14:08 GMT 2019,1.9,146015
Fri Aug  2 09:14:09 GMT 2019,1.9,146015
Fri Aug  2 09:14:09 GMT 2019,1.9,146011
Fri Aug  2 09:14:09 GMT 2019,1.9,146011
Fri Aug  2 09:14:09 GMT 2019,1.9,146011
Fri Aug  2 09:14:10 GMT 2019,1.9,145985
Fri Aug  2 09:14:10 GMT 2019,1.9,146013
Fri Aug  2 09:14:10 GMT 2019,1.9,146013
Fri Aug  2 09:14:10 GMT 2019,1.9,146013
Fri Aug  2 09:14:11 GMT 2019,1.9,146013
Fri Aug  2 09:14:11 GMT 2019,1.9,146013
Fri Aug  2 09:14:11 GMT 2019,1.9,145993
Fri Aug  2 09:14:12 GMT 2019,1.9,146009
Fri Aug  2 09:14:12 GMT 2019,1.9,146013
Fri Aug  2 09:14:12 GMT 2019,1.9,146013
Fri Aug  2 09:14:13 GMT 2019,1.9,146013
Fri Aug  2 09:14:13 GMT 2019,1.9,146013
Fri Aug  2 09:14:13 GMT 2019,1.9,146013
Fri Aug  2 09:14:13 GMT 2019,1.9,146013
Fri Aug  2 09:14:14 GMT 2019,1.9,146013
Fri Aug  2 09:14:14 GMT 2019,1.9,146009
Fri Aug  2 09:14:14 GMT 2019,1.9,146009
Fri Aug  2 09:14:14 GMT 2019,1.9,146009
Fri Aug  2 09:14:15 GMT 2019,1.9,146008
Fri Aug  2 09:14:15 GMT 2019,1.9,146008
Fri Aug  2 09:14:15 GMT 2019,1.9,146008
Fri Aug  2 09:14:16 GMT 2019,1.9,146008
Fri Aug  2 09:14:16 GMT 2019,1.9,146008
Fri Aug  2 09:14:16 GMT 2019,1.9,146008
Fri Aug  2 09:14:16 GMT 2019,1.9,145988
Fri Aug  2 09:14:17 GMT 2019,1.9,146004
Fri Aug  2 09:14:17 GMT 2019,1.9,146008
Fri Aug  2 09:14:17 GMT 2019,1.9,146008
Fri Aug  2 09:14:18 GMT 2019,1.9,146008
Fri Aug  2 09:14:18 GMT 2019,1.9,146008
Fri Aug  2 09:14:18 GMT 2019,1.9,74371
Fri Aug  2 09:14:19 GMT 2019,1.9,48490
Fri Aug  2 09:14:19 GMT 2019,1.9,48497
Fri Aug  2 09:14:19 GMT 2019,1.9,48495
Fri Aug  2 09:14:20 GMT 2019,1.9,48495
Fri Aug  2 09:14:20 GMT 2019,1.9,66121
Fri Aug  2 09:14:20 GMT 2019,1.9,66117
Fri Aug  2 09:14:20 GMT 2019,1.9,82777
Fri Aug  2 09:14:21 GMT 2019,1.9,82773
Fri Aug  2 09:14:21 GMT 2019,1.9,82773
Fri Aug  2 09:14:21 GMT 2019,1.9,82773
Fri Aug  2 09:14:21 GMT 2019,1.9,95749
Fri Aug  2 09:14:22 GMT 2019,1.9,130602
Fri Aug  2 09:14:22 GMT 2019,1.9,130554
Fri Aug  2 09:14:22 GMT 2019,1.9,147006
Fri Aug  2 09:14:23 GMT 2019,1.9,147006
Fri Aug  2 09:14:23 GMT 2019,1.9,147006
