App,Package,Start Time,Duration,Filename
"System",,"Aug 2, 2019 @ 11:13:57 AM","2 min 0 sec","Trepn_2019.08.02_111355.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
60,3,56,2514256,59,3760959,2832761,62,180000,62,0,55,1555200,56,1555200,57,1555200,58,1555200,59,1958400,59,1958400,60,1958400,61,1958400,56,50,57,60,58,55,58,37,59,37,60,55,61,11,61,0,
161,3,156,2542676,160,2471865,1543667,163,180000,163,0,155,1555200,156,1555200,157,1555200,158,1555200,159,1958400,160,1958400,161,1958400,162,1958400,156,44,157,58,158,58,159,22,160,44,161,100,162,9,162,0,
262,3,257,2545408,261,3734422,2806224,264,180000,264,32,256,1555200,257,1555200,258,1555200,259,1555200,260,1958400,261,1958400,262,1958400,263,1958400,257,70,258,70,259,66,260,50,261,70,262,27,263,0,264,0,
362,3,358,2545280,361,1478563,550365,363,180000,364,32,356,1555200,358,1555200,359,1555200,360,1555200,360,1958400,361,1958400,362,1958400,363,1958400,357,62,359,12,360,33,360,0,361,10,362,10,363,100,363,0,
464,3,459,2546744,463,3113378,2185180,466,180000,466,32,457,1555200,460,1555200,461,1555200,462,1555200,463,1958400,464,1958400,464,1958400,465,1958400,459,63,460,66,461,58,462,40,463,0,464,0,465,10,466,0,
564,3,559,2546976,563,2258841,1330643,566,180000,566,32,558,1555200,559,1555200,560,1555200,562,1555200,562,1958400,563,1958400,564,1958400,565,1958400,559,66,560,54,561,36,562,11,563,60,564,0,565,0,565,0,
663,3,660,2547816,662,1814176,885978,664,305000,664,0,659,1555200,660,1555200,661,1555200,661,1555200,662,1958400,663,1958400,663,1958400,664,1958400,660,62,661,33,661,41,662,40,662,22,663,0,664,20,664,0,
767,3,761,2548088,766,1330494,402296,770,180000,770,0,759,1555200,761,1555200,762,1555200,764,1555200,765,1536000,766,1536000,768,1824000,769,1824000,760,45,762,40,763,12,765,10,766,50,767,10,768,0,770,0,
864,3,861,2547936,863,1227010,298812,865,180000,866,0,860,960000,861,960000,862,960000,862,960000,863,1958400,864,1958400,864,1958400,865,1958400,860,20,862,20,862,18,863,10,863,88,864,0,865,0,865,0,
964,3,961,2548544,963,1126707,198509,965,180000,965,0,960,1478400,961,1478400,961,1478400,962,1478400,963,1958400,963,1958400,964,1958400,964,1958400,960,63,961,55,962,33,963,20,963,0,964,0,964,0,965,0,
