App,Package,Start Time,Duration,Filename
"System",,"Aug 2, 2019 @ 02:51:01 PM","2 min 0 sec","Trepn_2019.08.02_145100.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
20,3,11,2510608,18,3147149,1177688,31,0,31,0,8,1555200,11,1555200,13,1555200,15,1555200,17,1958400,19,1958400,21,1958400,22,1958400,10,66,12,44,14,57,16,50,18,100,20,0,22,0,30,0,
120,3,111,2518028,119,1911390,0,124,0,125,0,109,1555200,111,1555200,113,1555200,115,1555200,117,1958400,119,1958400,121,1958400,123,1958400,110,72,113,55,115,36,117,37,118,45,120,18,122,20,124,0,
222,3,212,2519548,220,2624374,654913,226,0,227,0,209,1555200,212,1555200,214,1555200,217,1555200,218,1958400,220,1958400,222,1958400,225,1958400,211,100,214,90,216,50,218,55,220,10,222,10,224,0,226,0,
321,3,312,2520380,319,2530695,561234,324,0,325,0,310,1555200,312,1555200,314,1555200,316,1555200,318,1958400,319,1958400,321,1958400,323,1958400,311,85,314,37,315,55,317,28,319,90,320,10,322,0,324,0,
424,3,413,2521264,421,1389529,0,430,0,430,0,410,1555200,414,1555200,416,1555200,418,1555200,419,633600,422,633600,425,633600,428,633600,412,55,415,45,417,25,419,54,421,0,424,0,427,0,430,0,
525,3,514,2521600,523,1361937,0,529,0,530,0,511,1555200,515,1555200,517,1555200,519,1555200,521,1958400,523,1958400,526,1958400,528,1958400,512,60,516,37,518,33,520,20,523,27,525,90,527,0,529,0,
625,3,614,2521404,622,1779304,0,629,0,630,0,611,1555200,614,1555200,617,1555200,619,1555200,621,1958400,623,1958400,625,1958400,627,1958400,613,62,616,12,618,30,620,11,622,0,624,33,627,0,629,0,
727,3,716,2522248,725,1640689,0,733,0,734,0,712,1555200,716,1555200,718,1555200,721,1555200,723,633600,725,633600,728,633600,731,633600,714,55,718,58,720,37,722,30,725,0,727,0,729,0,733,0,
828,3,816,2522496,826,1704130,0,833,0,833,0,812,1555200,817,1555200,819,1555200,821,1555200,824,1824000,826,1824000,828,1824000,831,1824000,815,62,819,11,821,33,823,40,826,70,828,0,830,0,832,0,
924,3,915,2522276,923,1300463,0,928,0,929,0,913,1555200,915,1555200,917,1555200,919,1555200,921,1958400,923,1958400,925,1958400,927,1958400,914,50,917,30,919,11,920,9,922,55,924,0,926,0,928,0,
1034,3,1018,2522080,1032,767200,0,1037,0,1038,0,1013,1555200,1019,1555200,1023,1555200,1027,1555200,1029,633600,1032,633600,1034,633600,1036,633600,1016,33,1022,18,1026,36,1029,20,1031,0,1034,0,1035,0,1037,0,
1125,3,1116,2522360,1123,1453554,0,1129,0,1129,0,1114,1555200,1116,1555200,1118,1555200,1120,1555200,1121,1536000,1124,1536000,1125,1536000,1127,1536000,1115,60,1118,62,1119,0,1121,20,1123,62,1125,0,1127,0,1128,0,
1229,3,1217,2522148,1226,1016871,0,1233,0,1234,0,1214,1344000,1218,1344000,1220,1344000,1222,1344000,1224,1958400,1227,1958400,1229,1958400,1231,1958400,1216,10,1219,18,1221,0,1223,0,1226,81,1228,0,1231,0,1233,0,
1328,3,1317,2523284,1326,1304957,0,1332,0,1333,0,1314,1555200,1318,1555200,1320,1555200,1322,1555200,1324,1958400,1326,1958400,1328,1958400,1331,1958400,1316,57,1319,55,1321,37,1323,33,1325,0,1328,0,1330,0,1332,0,
1427,3,1418,2523284,1425,752859,0,1431,0,1431,0,1415,1555200,1418,1555200,1420,1555200,1422,1555200,1424,1958400,1426,1958400,1427,1958400,1429,1958400,1417,45,1420,30,1421,20,1423,10,1425,0,1427,88,1429,0,1430,0,
1530,3,1518,2519852,1528,1320712,0,1535,0,1536,0,1515,1555200,1519,1555200,1521,1555200,1523,1555200,1526,1958400,1528,1958400,1530,1958400,1533,1958400,1517,12,1521,30,1523,12,1525,0,1527,0,1530,45,1532,0,1535,0,
1628,3,1618,2520024,1626,1584759,0,1631,0,1632,0,1616,1555200,1619,1555200,1621,1555200,1622,1555200,1624,633600,1626,633600,1628,633600,1630,633600,1617,80,1620,30,1622,22,1624,20,1626,10,1628,0,1629,0,1631,0,
1730,3,1719,2520024,1728,1369140,0,1734,0,1734,0,1716,1555200,1720,1555200,1722,1555200,1724,1555200,1726,1958400,1728,1958400,1730,1958400,1732,1958400,1718,33,1721,0,1723,0,1725,10,1727,100,1729,0,1732,0,1734,0,
1828,3,1819,2519904,1827,1678509,0,1833,0,1834,0,1817,1555200,1819,1555200,1821,1555200,1823,1555200,1825,1958400,1827,1958400,1829,1958400,1831,1958400,1818,50,1821,36,1822,50,1824,33,1826,44,1828,0,1830,0,1833,0,
1929,3,1920,2521332,1927,1957087,0,1933,0,1933,0,1917,1555200,1920,1555200,1922,1555200,1924,1555200,1925,1958400,1927,1958400,1929,1958400,1931,1958400,1919,22,1921,50,1923,33,1925,20,1927,100,1929,60,1930,0,1932,0,
2030,3,2020,2521636,2028,2335460,365999,2034,0,2035,0,2018,1555200,2021,1555200,2022,1555200,2024,1555200,2026,1958400,2028,1958400,2030,1958400,2032,1958400,2019,14,2022,45,2024,30,2026,0,2028,100,2030,40,2032,0,2034,0,
2132,3,2121,2523748,2130,2425907,456446,2137,0,2138,0,2118,1555200,2122,1555200,2124,1555200,2126,1555200,2128,1958400,2130,1958400,2132,1958400,2134,1958400,2120,50,2123,33,2125,27,2127,36,2130,90,2132,10,2133,0,2136,0,
2229,3,2221,2525796,2227,1138402,0,2232,0,2232,0,2219,1555200,2221,1555200,2223,1555200,2224,1555200,2226,1958400,2228,1958400,2229,1958400,2231,1958400,2220,28,2222,20,2224,22,2226,0,2227,50,2229,90,2230,0,2232,0,
2335,3,2322,2525876,2332,1506840,0,2341,0,2342,0,2319,1555200,2323,1555200,2325,1555200,2327,1555200,2330,1958400,2332,1958400,2335,1958400,2338,1958400,2321,33,2324,22,2327,22,2329,0,2332,0,2334,0,2337,0,2341,0,
2431,3,2422,2526356,2430,1355827,0,2436,0,2436,0,2420,1555200,2422,1555200,2425,1555200,2427,1555200,2428,1536000,2430,1536000,2432,1536000,2434,1536000,2421,72,2425,30,2426,33,2428,11,2429,44,2431,0,2433,0,2435,0,
2534,3,2523,2526356,2532,1267964,0,2538,0,2539,0,2520,1555200,2523,1555200,2526,1555200,2528,1555200,2530,1958400,2532,1958400,2534,1958400,2536,1958400,2522,30,2525,16,2527,0,2529,11,2531,81,2534,0,2536,0,2538,0,
2636,3,2624,2526892,2633,1097024,0,2640,0,2640,0,2620,1555200,2625,1555200,2627,1555200,2629,1555200,2631,633600,2634,633600,2636,633600,2638,633600,2622,63,2626,50,2628,30,2630,10,2633,0,2635,0,2638,0,2640,0,
2736,3,2724,2527588,2734,1074571,0,2739,0,2740,0,2721,1555200,2724,1555200,2727,1555200,2729,1555200,2731,1536000,2734,1824000,2736,1824000,2738,1824000,2722,30,2726,11,2729,45,2731,10,2734,55,2736,0,2737,0,2739,0,
2833,3,2824,2526608,2831,1323355,0,2837,0,2838,0,2821,1555200,2824,1555200,2826,1555200,2828,1555200,2829,1958400,2831,1958400,2833,1958400,2835,1958400,2823,37,2825,14,2827,30,2829,0,2831,70,2833,0,2835,0,2837,0,
2936,3,2925,2527516,2934,989472,0,2941,0,2942,0,2922,1555200,2925,1555200,2928,1555200,2930,1555200,2932,633600,2935,633600,2937,633600,2939,633600,2923,40,2927,30,2929,50,2932,18,2934,0,2936,0,2938,0,2941,0,
3036,3,3025,2531636,3034,1871046,0,3039,0,3040,0,3022,1555200,3025,1555200,3028,1555200,3031,1555200,3033,1958400,3034,1958400,3036,1958400,3038,1958400,3024,66,3027,11,3031,11,3032,25,3034,100,3036,0,3037,0,3039,0,
3138,3,3126,2526484,3136,1042427,0,3139,0,3139,0,3123,1555200,3127,1555200,3129,1555200,3132,1555200,3135,1958400,3136,1958400,3138,1958400,3138,1958400,3125,66,3129,10,3131,0,3134,25,3136,30,3137,0,3138,0,3139,0,
3235,3,3225,2524892,3232,1713565,0,3239,0,3239,0,3223,1555200,3225,1555200,3227,1555200,3229,1555200,3230,1958400,3232,1958400,3235,1958400,3237,1958400,3224,70,3227,44,3228,66,3230,22,3232,25,3234,10,3236,20,3238,0,
3336,3,3326,2523616,3334,1440547,0,3340,0,3340,0,3323,1555200,3326,1555200,3328,1555200,3330,1555200,3332,1958400,3334,1958400,3336,1958400,3338,1958400,3325,12,3328,18,3329,20,3332,0,3334,72,3336,0,3338,0,3340,0,
3435,3,3427,2523656,3433,999835,0,3439,0,3439,0,3424,1555200,3427,1555200,3429,1555200,3430,1555200,3432,633600,3434,633600,3436,633600,3437,633600,3425,50,3428,33,3430,36,3432,18,3433,10,3435,0,3437,0,3438,0,
3537,3,3527,2523656,3534,1223734,0,3540,0,3541,0,3524,1555200,3527,1555200,3529,1555200,3531,1555200,3533,1824000,3535,1824000,3537,1824000,3539,1824000,3526,33,3529,10,3530,0,3532,36,3534,70,3536,0,3538,0,3540,0,
3640,3,3628,2523628,3637,1346334,0,3645,0,3646,0,3625,1555200,3628,1555200,3630,1555200,3633,1555200,3635,1958400,3637,1958400,3640,1958400,3643,1958400,3626,37,3630,33,3632,11,3635,18,3637,60,3640,0,3642,0,3645,0,
