datetime,cpu,mem
Fri Aug  2 14:17:47 GMT 2019,6,116537
Fri Aug  2 14:17:47 GMT 2019,6,116912
Fri Aug  2 14:17:47 GMT 2019,6,116928
Fri Aug  2 14:17:48 GMT 2019,6,116952
Fri Aug  2 14:17:48 GMT 2019,6,116952
Fri Aug  2 14:17:48 GMT 2019,6,116956
Fri Aug  2 14:17:48 GMT 2019,6,116961
Fri Aug  2 14:17:49 GMT 2019,6,116965
Fri Aug  2 14:17:49 GMT 2019,6,116965
Fri Aug  2 14:17:49 GMT 2019,6,116918
Fri Aug  2 14:17:50 GMT 2019,6,116918
Fri Aug  2 14:17:50 GMT 2019,6,116918
Fri Aug  2 14:17:50 GMT 2019,6,116918
Fri Aug  2 14:17:50 GMT 2019,6,116918
Fri Aug  2 14:17:51 GMT 2019,6,116984
Fri Aug  2 14:17:51 GMT 2019,6,117444
Fri Aug  2 14:17:51 GMT 2019,6,117432
Fri Aug  2 14:17:51 GMT 2019,6,117424
Fri Aug  2 14:17:52 GMT 2019,6,117424
Fri Aug  2 14:17:52 GMT 2019,6,117144
Fri Aug  2 14:17:52 GMT 2019,6,117148
Fri Aug  2 14:17:53 GMT 2019,6,117152
Fri Aug  2 14:17:53 GMT 2019,6,117152
Fri Aug  2 14:17:53 GMT 2019,6,117152
Fri Aug  2 14:17:54 GMT 2019,6,117152
Fri Aug  2 14:17:54 GMT 2019,6,117152
Fri Aug  2 14:17:54 GMT 2019,6,117152
Fri Aug  2 14:17:54 GMT 2019,6,117152
Fri Aug  2 14:17:55 GMT 2019,6,117152
Fri Aug  2 14:17:55 GMT 2019,6,117152
Fri Aug  2 14:17:55 GMT 2019,6,117152
Fri Aug  2 14:17:55 GMT 2019,6,117153
Fri Aug  2 14:17:56 GMT 2019,6,117153
Fri Aug  2 14:17:56 GMT 2019,6,117177
Fri Aug  2 14:17:56 GMT 2019,6,117181
Fri Aug  2 14:17:57 GMT 2019,6,117181
Fri Aug  2 14:17:57 GMT 2019,6,117125
Fri Aug  2 14:17:57 GMT 2019,6,117141
Fri Aug  2 14:17:57 GMT 2019,6,117145
Fri Aug  2 14:17:58 GMT 2019,6,117149
Fri Aug  2 14:17:58 GMT 2019,6,117149
Fri Aug  2 14:17:58 GMT 2019,6,117149
Fri Aug  2 14:17:59 GMT 2019,6,117149
Fri Aug  2 14:17:59 GMT 2019,6,117149
Fri Aug  2 14:17:59 GMT 2019,6,117149
Fri Aug  2 14:18:00 GMT 2019,6,117149
Fri Aug  2 14:18:00 GMT 2019,6,117149
Fri Aug  2 14:18:00 GMT 2019,6,117149
Fri Aug  2 14:18:00 GMT 2019,6,117149
Fri Aug  2 14:18:01 GMT 2019,6,117149
Fri Aug  2 14:18:01 GMT 2019,6,134514
Fri Aug  2 14:18:01 GMT 2019,6,153617
Fri Aug  2 14:18:01 GMT 2019,6,153621
Fri Aug  2 14:18:02 GMT 2019,6,153621
Fri Aug  2 14:18:02 GMT 2019,6,153621
Fri Aug  2 14:18:02 GMT 2019,6,153421
Fri Aug  2 14:18:03 GMT 2019,6,153425
Fri Aug  2 14:18:03 GMT 2019,6,153429
Fri Aug  2 14:18:03 GMT 2019,6,152969
Fri Aug  2 14:18:03 GMT 2019,6,152969
Fri Aug  2 14:18:04 GMT 2019,6,152969
Fri Aug  2 14:18:04 GMT 2019,6,152969
Fri Aug  2 14:18:04 GMT 2019,6,152969
Fri Aug  2 14:18:04 GMT 2019,6,152969
Fri Aug  2 14:18:05 GMT 2019,6,152973
Fri Aug  2 14:18:05 GMT 2019,6,152973
Fri Aug  2 14:18:05 GMT 2019,6,152973
Fri Aug  2 14:18:06 GMT 2019,6,152969
Fri Aug  2 14:18:06 GMT 2019,6,152969
Fri Aug  2 14:18:06 GMT 2019,6,152973
Fri Aug  2 14:18:06 GMT 2019,6,152973
Fri Aug  2 14:18:07 GMT 2019,6,152973
Fri Aug  2 14:18:07 GMT 2019,6,152973
Fri Aug  2 14:18:07 GMT 2019,6,152949
Fri Aug  2 14:18:07 GMT 2019,6,152965
Fri Aug  2 14:18:08 GMT 2019,6,152969
Fri Aug  2 14:18:08 GMT 2019,6,152973
Fri Aug  2 14:18:08 GMT 2019,6,152973
Fri Aug  2 14:18:09 GMT 2019,6,152973
Fri Aug  2 14:18:09 GMT 2019,6,152973
Fri Aug  2 14:18:09 GMT 2019,6,152973
Fri Aug  2 14:18:09 GMT 2019,6,152973
Fri Aug  2 14:18:10 GMT 2019,6,152973
Fri Aug  2 14:18:10 GMT 2019,6,152973
Fri Aug  2 14:18:10 GMT 2019,6,152926
Fri Aug  2 14:18:11 GMT 2019,6,152926
Fri Aug  2 14:18:11 GMT 2019,6,152926
Fri Aug  2 14:18:11 GMT 2019,6,119875
Fri Aug  2 14:18:11 GMT 2019,6,119875
Fri Aug  2 14:18:12 GMT 2019,6,119683
Fri Aug  2 14:18:12 GMT 2019,6,119683
Fri Aug  2 14:18:12 GMT 2019,6,119635
Fri Aug  2 14:18:12 GMT 2019,6,119651
Fri Aug  2 14:18:13 GMT 2019,6,119656
Fri Aug  2 14:18:13 GMT 2019,6,119660
Fri Aug  2 14:18:13 GMT 2019,6,119660
Fri Aug  2 14:18:14 GMT 2019,6,119660
Fri Aug  2 14:18:14 GMT 2019,6,119664
Fri Aug  2 14:18:14 GMT 2019,6,119664
Fri Aug  2 14:18:15 GMT 2019,6,119664
Fri Aug  2 14:18:15 GMT 2019,6,119664
Fri Aug  2 14:18:15 GMT 2019,6,119664
Fri Aug  2 14:18:15 GMT 2019,6,119664
Fri Aug  2 14:18:16 GMT 2019,6,119664
Fri Aug  2 14:18:16 GMT 2019,6,119664
Fri Aug  2 14:18:16 GMT 2019,6,154511
Fri Aug  2 14:18:16 GMT 2019,6,155377
Fri Aug  2 14:18:17 GMT 2019,6,155813
Fri Aug  2 14:18:17 GMT 2019,6,156476
Fri Aug  2 14:18:17 GMT 2019,6,156160
Fri Aug  2 14:18:18 GMT 2019,6,156196
Fri Aug  2 14:18:18 GMT 2019,6,156212
Fri Aug  2 14:18:18 GMT 2019,6,156232
Fri Aug  2 14:18:18 GMT 2019,6,156236
Fri Aug  2 14:18:19 GMT 2019,6,156236
Fri Aug  2 14:18:19 GMT 2019,6,156236
Fri Aug  2 14:18:19 GMT 2019,6,156240
Fri Aug  2 14:18:20 GMT 2019,6,155700
Fri Aug  2 14:18:20 GMT 2019,6,155698
Fri Aug  2 14:18:20 GMT 2019,6,155706
Fri Aug  2 14:18:21 GMT 2019,6,155706
Fri Aug  2 14:18:21 GMT 2019,6,155706
Fri Aug  2 14:18:21 GMT 2019,6,155706
Fri Aug  2 14:18:21 GMT 2019,6,121690
Fri Aug  2 14:18:22 GMT 2019,6,121670
Fri Aug  2 14:18:22 GMT 2019,6,121206
Fri Aug  2 14:18:22 GMT 2019,6,121190
Fri Aug  2 14:18:22 GMT 2019,6,121178
Fri Aug  2 14:18:23 GMT 2019,6,121190
Fri Aug  2 14:18:23 GMT 2019,6,121194
Fri Aug  2 14:18:23 GMT 2019,6,121198
Fri Aug  2 14:18:23 GMT 2019,6,121198
Fri Aug  2 14:18:24 GMT 2019,6,121198
Fri Aug  2 14:18:24 GMT 2019,6,121198
Fri Aug  2 14:18:24 GMT 2019,6,121198
Fri Aug  2 14:18:25 GMT 2019,6,121198
Fri Aug  2 14:18:25 GMT 2019,6,121198
Fri Aug  2 14:18:25 GMT 2019,6,121198
Fri Aug  2 14:18:25 GMT 2019,6,121198
Fri Aug  2 14:18:26 GMT 2019,6,121198
Fri Aug  2 14:18:26 GMT 2019,6,121198
Fri Aug  2 14:18:26 GMT 2019,6,121198
Fri Aug  2 14:18:26 GMT 2019,6,154586
Fri Aug  2 14:18:27 GMT 2019,6,154674
Fri Aug  2 14:18:27 GMT 2019,6,154759
Fri Aug  2 14:18:27 GMT 2019,6,155098
Fri Aug  2 14:18:28 GMT 2019,6,155228
Fri Aug  2 14:18:28 GMT 2019,6,155248
Fri Aug  2 14:18:28 GMT 2019,6,155252
Fri Aug  2 14:18:28 GMT 2019,6,155256
Fri Aug  2 14:18:29 GMT 2019,6,155260
Fri Aug  2 14:18:29 GMT 2019,6,155260
Fri Aug  2 14:18:29 GMT 2019,6,155260
Fri Aug  2 14:18:30 GMT 2019,6,155260
Fri Aug  2 14:18:30 GMT 2019,6,155260
Fri Aug  2 14:18:30 GMT 2019,6,155260
Fri Aug  2 14:18:30 GMT 2019,6,155307
Fri Aug  2 14:18:31 GMT 2019,6,155307
Fri Aug  2 14:18:31 GMT 2019,6,155307
Fri Aug  2 14:18:31 GMT 2019,6,155307
Fri Aug  2 14:18:31 GMT 2019,6,155307
Fri Aug  2 14:18:32 GMT 2019,6,155307
Fri Aug  2 14:18:32 GMT 2019,6,155307
Fri Aug  2 14:18:32 GMT 2019,6,155279
Fri Aug  2 14:18:33 GMT 2019,6,155295
Fri Aug  2 14:18:33 GMT 2019,6,155299
Fri Aug  2 14:18:33 GMT 2019,6,155303
Fri Aug  2 14:18:34 GMT 2019,6,155303
Fri Aug  2 14:18:34 GMT 2019,6,155303
Fri Aug  2 14:18:34 GMT 2019,6,155303
Fri Aug  2 14:18:34 GMT 2019,6,155303
Fri Aug  2 14:18:35 GMT 2019,6,155303
Fri Aug  2 14:18:35 GMT 2019,6,155303
Fri Aug  2 14:18:35 GMT 2019,6,155303
Fri Aug  2 14:18:36 GMT 2019,6,155303
Fri Aug  2 14:18:36 GMT 2019,6,155303
Fri Aug  2 14:18:36 GMT 2019,6,155303
Fri Aug  2 14:18:36 GMT 2019,6,155303
Fri Aug  2 14:18:37 GMT 2019,6,155303
Fri Aug  2 14:18:37 GMT 2019,6,155303
Fri Aug  2 14:18:37 GMT 2019,6,155303
Fri Aug  2 14:18:37 GMT 2019,6,155303
Fri Aug  2 14:18:38 GMT 2019,6,139998
Fri Aug  2 14:18:38 GMT 2019,6,142528
Fri Aug  2 14:18:38 GMT 2019,6,160529
Fri Aug  2 14:18:38 GMT 2019,6,162394
Fri Aug  2 14:18:39 GMT 2019,6,162378
Fri Aug  2 14:18:39 GMT 2019,6,162378
Fri Aug  2 14:18:39 GMT 2019,6,162378
Fri Aug  2 14:18:40 GMT 2019,6,162378
Fri Aug  2 14:18:40 GMT 2019,6,162378
Fri Aug  2 14:18:40 GMT 2019,6,162378
Fri Aug  2 14:18:40 GMT 2019,6,162378
Fri Aug  2 14:18:41 GMT 2019,6,162378
Fri Aug  2 14:18:41 GMT 2019,6,162378
Fri Aug  2 14:18:41 GMT 2019,6,162378
Fri Aug  2 14:18:42 GMT 2019,6,162382
Fri Aug  2 14:18:42 GMT 2019,6,162382
Fri Aug  2 14:18:42 GMT 2019,6,162378
Fri Aug  2 14:18:43 GMT 2019,6,128456
Fri Aug  2 14:18:43 GMT 2019,6,127624
Fri Aug  2 14:18:43 GMT 2019,6,127532
Fri Aug  2 14:18:43 GMT 2019,6,127536
Fri Aug  2 14:18:44 GMT 2019,6,127540
Fri Aug  2 14:18:44 GMT 2019,6,127540
Fri Aug  2 14:18:44 GMT 2019,6,127540
Fri Aug  2 14:18:45 GMT 2019,6,127540
Fri Aug  2 14:18:45 GMT 2019,6,127540
Fri Aug  2 14:18:45 GMT 2019,6,127540
Fri Aug  2 14:18:45 GMT 2019,6,127540
Fri Aug  2 14:18:46 GMT 2019,6,127540
Fri Aug  2 14:18:46 GMT 2019,6,127540
Fri Aug  2 14:18:46 GMT 2019,6,127540
Fri Aug  2 14:18:47 GMT 2019,6,127540
Fri Aug  2 14:18:47 GMT 2019,6,127540
Fri Aug  2 14:18:47 GMT 2019,6,127540
Fri Aug  2 14:18:48 GMT 2019,6,110716
Fri Aug  2 14:18:48 GMT 2019,6,110668
Fri Aug  2 14:18:48 GMT 2019,6,110432
Fri Aug  2 14:18:48 GMT 2019,6,90132
Fri Aug  2 14:18:49 GMT 2019,6,66863
Fri Aug  2 14:18:49 GMT 2019,6,66867
Fri Aug  2 14:18:50 GMT 2019,6,66935
Fri Aug  2 14:18:50 GMT 2019,6,67027
Fri Aug  2 14:18:50 GMT 2019,6,66981
Fri Aug  2 14:18:51 GMT 2019,6,66969
Fri Aug  2 14:18:51 GMT 2019,6,66969
Fri Aug  2 14:18:51 GMT 2019,6,66969
Fri Aug  2 14:18:52 GMT 2019,6,66969
Fri Aug  2 14:18:52 GMT 2019,6,66969
Fri Aug  2 14:18:53 GMT 2019,6,66969
Fri Aug  2 14:18:53 GMT 2019,6,66953
Fri Aug  2 14:18:53 GMT 2019,6,66903
Fri Aug  2 14:18:54 GMT 2019,6,65711
Fri Aug  2 14:18:54 GMT 2019,6,65751
Fri Aug  2 14:18:54 GMT 2019,6,65759
Fri Aug  2 14:18:55 GMT 2019,6,65759
Fri Aug  2 14:18:55 GMT 2019,6,65763
Fri Aug  2 14:18:55 GMT 2019,6,65763
Fri Aug  2 14:18:56 GMT 2019,6,65759
Fri Aug  2 14:18:56 GMT 2019,6,65759
Fri Aug  2 14:18:57 GMT 2019,6,65759
Fri Aug  2 14:18:57 GMT 2019,6,65759
Fri Aug  2 14:18:57 GMT 2019,6,65759
Fri Aug  2 14:18:58 GMT 2019,6,65759
Fri Aug  2 14:18:58 GMT 2019,6,65707
Fri Aug  2 14:18:58 GMT 2019,6,65759
Fri Aug  2 14:18:59 GMT 2019,6,65763
Fri Aug  2 14:18:59 GMT 2019,6,65767
Fri Aug  2 14:19:00 GMT 2019,6,65771
Fri Aug  2 14:19:00 GMT 2019,6,65771
Fri Aug  2 14:19:00 GMT 2019,6,65771
Fri Aug  2 14:19:01 GMT 2019,6,65751
Fri Aug  2 14:19:01 GMT 2019,6,65703
Fri Aug  2 14:19:01 GMT 2019,6,65703
Fri Aug  2 14:19:02 GMT 2019,6,65703
Fri Aug  2 14:19:02 GMT 2019,6,65703
Fri Aug  2 14:19:02 GMT 2019,6,65703
Fri Aug  2 14:19:03 GMT 2019,6,65701
Fri Aug  2 14:19:03 GMT 2019,6,65636
Fri Aug  2 14:19:04 GMT 2019,6,65672
Fri Aug  2 14:19:04 GMT 2019,6,65676
Fri Aug  2 14:19:04 GMT 2019,6,65680
Fri Aug  2 14:19:05 GMT 2019,6,65684
Fri Aug  2 14:19:05 GMT 2019,6,65684
Fri Aug  2 14:19:05 GMT 2019,6,65684
Fri Aug  2 14:19:06 GMT 2019,6,65684
Fri Aug  2 14:19:06 GMT 2019,6,65684
Fri Aug  2 14:19:07 GMT 2019,6,65684
Fri Aug  2 14:19:07 GMT 2019,6,65684
Fri Aug  2 14:19:07 GMT 2019,6,65684
Fri Aug  2 14:19:08 GMT 2019,6,65684
Fri Aug  2 14:19:08 GMT 2019,6,65698
Fri Aug  2 14:19:08 GMT 2019,6,65646
Fri Aug  2 14:19:09 GMT 2019,6,65682
Fri Aug  2 14:19:09 GMT 2019,6,65686
Fri Aug  2 14:19:10 GMT 2019,6,65690
Fri Aug  2 14:19:10 GMT 2019,6,65690
Fri Aug  2 14:19:10 GMT 2019,6,65690
Fri Aug  2 14:19:11 GMT 2019,6,65690
Fri Aug  2 14:19:11 GMT 2019,6,65690
Fri Aug  2 14:19:12 GMT 2019,6,65690
Fri Aug  2 14:19:12 GMT 2019,6,65698
Fri Aug  2 14:19:12 GMT 2019,6,65698
