App,Package,Start Time,Duration,Filename
"System",,"Aug 2, 2019 @ 04:17:47 PM","3 min 10 sec","Trepn_2019.08.02_161746.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
64,3,58,2651224,63,1128913,272325,66,180000,67,0,56,1555200,58,1555200,59,1555200,61,1555200,62,960000,63,960000,64,960000,65,960000,57,57,59,55,60,12,62,22,63,25,64,0,65,0,66,0,
164,3,158,2651904,163,1390793,534205,166,180000,166,0,156,1555200,158,1555200,160,1555200,161,1555200,162,1536000,163,1536000,164,1536000,165,1536000,158,44,159,60,160,41,162,0,162,50,164,10,165,0,166,0,
261,3,258,2652768,261,1398108,541520,262,180000,263,0,257,1555200,258,1555200,259,1555200,259,1555200,260,1958400,261,1958400,261,1958400,262,1958400,258,14,259,11,259,10,260,20,260,88,261,10,262,0,262,0,
366,3,359,2654160,365,1647652,791064,370,180000,370,0,357,1555200,359,1555200,361,1555200,362,1555200,364,1248000,365,1248000,367,1248000,368,1248000,358,62,360,63,362,50,363,40,365,0,366,0,368,0,369,0,
470,3,460,2654436,468,1915536,1058948,474,180000,474,0,457,1555200,460,1555200,462,1555200,464,1555200,466,1958400,468,1958400,470,1958400,472,1958400,459,66,462,30,464,20,466,18,467,90,469,0,471,0,473,0,
572,3,561,2654268,570,1745096,888508,578,180000,578,0,558,1555200,562,1555200,564,1555200,566,1555200,568,1958400,570,1958400,573,1958400,576,1958400,560,77,564,45,566,37,568,40,570,30,572,0,574,0,577,0,
670,3,661,2655244,668,1247255,390667,674,180000,675,0,658,1555200,661,1555200,663,1555200,665,1555200,667,1248000,668,1248000,670,1248000,672,1248000,660,50,663,11,665,72,666,18,668,33,670,0,672,0,674,0,
774,3,761,2655492,771,1204227,347639,778,180000,779,0,759,1555200,762,1555200,764,1555200,766,1555200,768,1958400,772,1958400,774,1958400,776,1958400,760,0,764,0,766,20,768,0,771,100,773,0,776,0,778,0,
872,3,862,2654432,870,1477039,620451,876,180000,877,0,859,1555200,862,1555200,864,1555200,866,1555200,868,633600,870,633600,872,633600,874,633600,861,66,863,63,865,44,868,33,870,0,872,0,874,0,876,0,
974,3,963,2655324,971,2103946,1247358,979,180000,979,0,960,1555200,964,1555200,966,1555200,968,1555200,970,1824000,972,1824000,974,1824000,977,1824000,962,57,965,90,967,40,969,20,971,66,973,0,976,0,978,0,
1073,3,1063,2654228,1071,1495438,638850,1077,180000,1078,0,1060,1555200,1063,1555200,1065,1555200,1067,1555200,1070,1958400,1072,1958400,1074,1958400,1076,1958400,1062,44,1065,50,1067,0,1069,11,1071,70,1073,0,1075,0,1077,0,
1173,3,1163,2654900,1171,1097024,240436,1177,180000,1177,0,1161,1555200,1164,1555200,1166,1555200,1167,1555200,1169,633600,1171,633600,1173,633600,1175,633600,1162,50,1165,72,1167,22,1169,9,1170,0,1173,0,1175,0,1177,0,
1276,3,1264,2655196,1274,1541222,684634,1280,180000,1281,0,1261,1555200,1264,1555200,1267,1555200,1269,1555200,1271,1958400,1274,1958400,1276,1958400,1278,1958400,1263,36,1266,10,1268,10,1271,11,1274,100,1276,0,1278,0,1280,0,
1372,3,1364,2654872,1370,1310865,454277,1376,180000,1377,0,1362,1555200,1364,1555200,1366,1555200,1367,1555200,1369,1958400,1371,1958400,1373,1958400,1374,1958400,1363,77,1366,27,1367,20,1369,10,1370,33,1372,0,1374,0,1376,0,
1477,3,1465,2655724,1474,910601,54013,1482,180000,1482,0,1462,1555200,1465,1555200,1467,1555200,1469,1555200,1472,633600,1475,633600,1477,633600,1479,633600,1464,25,1467,70,1469,10,1472,22,1474,0,1476,0,1478,0,1480,0,
1574,3,1565,2655724,1572,1598583,741995,1577,180000,1578,0,1562,1555200,1565,1555200,1567,1555200,1569,1555200,1570,1958400,1572,1958400,1574,1958400,1576,1958400,1564,44,1567,11,1568,11,1570,9,1572,100,1574,0,1575,0,1577,0,
1677,3,1666,2656012,1675,1878216,1021628,1683,180000,1684,0,1663,1555200,1667,1555200,1669,1555200,1671,1555200,1673,1958400,1676,1958400,1678,1958400,1680,1958400,1665,70,1668,22,1670,0,1672,22,1675,100,1677,0,1679,0,1682,0,
1775,3,1766,2657240,1773,2107659,1251071,1778,180000,1779,0,1763,1555200,1766,1555200,1768,1555200,1769,1555200,1771,1958400,1774,1958400,1775,1958400,1777,1958400,1765,55,1767,44,1769,27,1771,20,1773,100,1775,50,1777,0,1778,0,
1877,3,1867,2654204,1875,1820682,964094,1882,180000,1883,0,1864,1555200,1867,1555200,1869,1555200,1871,1555200,1873,1958400,1875,1958400,1878,1958400,1880,1958400,1866,22,1868,10,1870,0,1873,0,1875,100,1877,55,1879,0,1882,0,
1976,3,1967,2657816,1974,2630989,1774401,1980,180000,1981,0,1964,1555200,1967,1555200,1969,1555200,1971,1555200,1973,1958400,1975,1958400,1977,1958400,1978,1958400,1966,66,1969,50,1970,44,1972,22,1974,70,1976,20,1978,0,1980,0,
2076,3,2067,2658048,2074,1668401,811813,2079,180000,2080,0,2065,1555200,2068,1555200,2070,1555200,2071,1555200,2073,1958400,2075,1958400,2076,1958400,2078,1958400,2066,40,2069,60,2071,27,2073,11,2074,44,2076,0,2077,0,2079,0,
2182,3,2169,2661460,2179,894861,38273,2187,180000,2188,0,2165,960000,2169,960000,2172,960000,2175,960000,2177,1958400,2180,1958400,2183,1958400,2185,1958400,2168,37,2171,22,2174,10,2176,0,2179,63,2182,0,2185,0,2187,0,
2279,3,2270,2661856,2277,1104194,247606,2283,180000,2283,0,2266,1555200,2270,1555200,2272,1555200,2274,1555200,2276,633600,2277,633600,2279,633600,2281,633600,2269,60,2272,44,2274,30,2275,20,2277,0,2279,0,2281,0,2283,0,
2385,3,2371,2662392,2383,916489,59901,2390,180000,2391,0,2367,1555200,2372,1555200,2374,1555200,2377,1555200,2380,1248000,2384,1536000,2386,1536000,2388,1536000,2369,30,2374,40,2376,0,2379,30,2383,40,2385,0,2388,0,2390,0,
2478,3,2469,2662672,2476,1734814,878226,2482,180000,2483,0,2467,1555200,2470,1555200,2471,1555200,2473,1555200,2475,1958400,2477,1958400,2479,1958400,2480,1958400,2468,54,2471,20,2473,0,2474,20,2476,100,2478,0,2480,0,2482,0,
2582,3,2570,2663152,2580,1061173,204585,2587,180000,2588,0,2567,1555200,2571,1555200,2573,1555200,2576,1555200,2578,633600,2580,633600,2583,633600,2585,633600,2569,63,2573,45,2575,20,2578,20,2580,0,2582,0,2584,0,2587,0,
2679,3,2670,2663400,2677,1410156,553568,2683,180000,2684,0,2668,1555200,2671,1555200,2672,1555200,2674,1555200,2676,1824000,2677,1824000,2679,1824000,2682,1958400,2669,50,2672,33,2674,11,2675,11,2677,70,2679,0,2681,0,2683,0,
2784,3,2772,2662844,2782,1095381,238793,2789,180000,2790,0,2768,1555200,2772,1555200,2775,1555200,2777,1555200,2779,1958400,2782,1958400,2784,1958400,2787,1958400,2770,36,2774,9,2776,10,2779,9,2781,60,2784,0,2786,0,2789,0,
2883,3,2872,2663180,2880,1555910,699322,2887,180000,2888,0,2869,1555200,2872,1555200,2874,1555200,2876,1555200,2878,633600,2881,633600,2883,633600,2885,633600,2870,72,2874,50,2876,50,2878,45,2880,0,2882,0,2884,0,2887,0,
2981,3,2972,2663164,2979,1457284,600696,2986,180000,2986,0,2969,1555200,2973,1555200,2974,1555200,2976,1555200,2978,1824000,2980,1824000,2982,1958400,2984,1958400,2971,30,2974,20,2976,18,2978,20,2979,88,2981,0,2983,0,2985,0,
3081,3,3072,2672224,3079,1770839,914251,3085,180000,3085,0,3070,1555200,3073,1555200,3074,1555200,3076,1555200,3078,1958400,3079,1958400,3081,1958400,3083,1958400,3071,88,3074,22,3076,33,3077,30,3079,50,3081,0,3082,0,3084,0,
3186,3,3173,2662972,3183,1361035,504447,3190,180000,3191,0,3170,1555200,3174,1555200,3176,1555200,3178,1555200,3181,1248000,3184,1536000,3186,1536000,3188,1536000,3172,81,3175,12,3178,58,3180,11,3183,40,3185,0,3188,0,3190,0,
3282,3,3273,2663236,3280,1756325,899737,3285,180000,3285,0,3271,1555200,3273,1555200,3275,1555200,3277,1555200,3278,1958400,3280,1958400,3282,1958400,3284,1958400,3272,60,3275,11,3276,10,3278,16,3280,100,3281,0,3283,0,3284,0,
3383,3,3373,2663372,3379,844602,0,3387,180000,3387,0,3371,1555200,3374,1555200,3375,1555200,3377,1555200,3378,1958400,3380,1958400,3383,633600,3385,633600,3372,44,3375,30,3376,18,3378,11,3379,10,3382,0,3385,0,3386,0,
3485,3,3475,2664368,3483,1641746,785158,3488,180000,3489,0,3472,1555200,3475,1555200,3477,1555200,3479,1555200,3481,1536000,3484,1536000,3485,1536000,3487,1536000,3473,70,3477,58,3479,25,3481,27,3483,50,3485,10,3486,0,3488,0,
3576,3,3573,2663836,3576,1799633,943045,3578,180000,3578,0,3572,1555200,3573,1555200,3574,1555200,3575,1555200,3575,1958400,3576,1958400,3577,1958400,3577,1958400,3573,50,3574,30,3575,20,3575,11,3576,88,3576,0,3577,11,3578,0,
3678,3,3674,2665364,3677,1302019,445431,3679,180000,3679,0,3672,1555200,3674,1555200,3675,1555200,3676,1555200,3676,1958400,3677,1958400,3678,1958400,3678,1958400,3674,55,3675,50,3676,27,3676,20,3677,9,3678,11,3678,0,3679,0,
3780,3,3775,2666124,3778,1673722,817134,3782,180000,3782,0,3773,1555200,3775,1555200,3776,1555200,3777,1555200,3778,1958400,3779,1958400,3780,1958400,3781,1958400,3774,54,3776,30,3777,0,3777,0,3778,90,3779,0,3781,0,3782,0,
3878,3,3875,2667940,3877,1721529,864941,3879,180000,3879,0,3873,1555200,3875,1555200,3875,1555200,3876,1555200,3877,1958400,3877,1958400,3878,1958400,3878,1958400,3874,100,3875,45,3876,0,3876,30,3877,44,3878,11,3878,0,3879,0,
3980,3,3975,2676588,3979,2119309,1262721,3982,180000,3982,0,3974,1555200,3975,1555200,3976,1555200,3977,1555200,3978,1248000,3979,1248000,3980,1248000,3981,1248000,3975,100,3976,50,3977,70,3978,44,3979,22,3980,0,3980,0,3981,0,
4079,3,4075,2671000,4078,1987237,1130649,4080,180000,4080,0,4074,1555200,4076,1555200,4076,1555200,4077,1555200,4077,1958400,4078,1958400,4079,1958400,4079,1958400,4075,100,4076,11,4077,22,4077,11,4078,90,4079,10,4079,0,4080,0,
